weekday,userType,Unnamed: 0,sns,shopping,others
0,extreme,1770.46408839779,107.92817679558011,17.08839779005525,796.3093922651934
1,extreme,1997.7102272727273,102.82954545454545,14.704545454545455,729.3238636363636
2,extreme,1876.14,111.715,13.365,863.275
3,extreme,1863.98,107.91,10.34,858.255
4,extreme,1871.98,110.705,13.72,882.295
5,extreme,1879.98,94.765,15.46,758.595
6,extreme,1887.98,104.53,14.925,744.02
0,moderate,2012.9010416666667,84.28645833333333,7.25,706.578125
1,moderate,2252.4228855721394,83.72139303482587,5.8059701492537314,696.0696517412936
2,moderate,2153.314814814815,91.47222222222223,10.24537037037037,754.8888888888889
3,moderate,2117.751196172249,83.48325358851675,5.267942583732057,775.88995215311
4,moderate,2107.4615384615386,73.01923076923077,5.2548076923076925,731.0769230769231
5,moderate,2115.4615384615386,71.7548076923077,9.01923076923077,644.4471153846154
6,moderate,2123.4615384615386,66.41826923076923,6.134615384615385,584.0
0,occational,1756.2645161290322,97.01290322580645,8.148387096774194,710.6064516129032
1,occational,2215.229885057471,97.0919540229885,18.183908045977013,850.5689655172414
2,occational,2076.2134831460676,103.42696629213484,11.99438202247191,823.7696629213483
3,occational,2033.090909090909,98.88068181818181,9.465909090909092,721.6704545454545
4,occational,2076.207650273224,90.39344262295081,11.939890710382514,753.0983606557377
5,occational,2032.9675675675676,96.4918918918919,12.708108108108108,676.7189189189189
6,occational,1966.8636363636363,96.9715909090909,7.9772727272727275,616.0511363636364
