,userId,totalHrs,snsHrs,shoppingHrs,othersHrs,userType
20,P0722,119253690,9817003,15829275,93607412,extreme
53,P3003,95460764,8947524,0,86513240,extreme
39,P1515,94387180,8828156,132421,85426603,extreme
67,P3021,90620643,18615788,740801,71264054,extreme
52,P3002,88121148,19816006,3256979,65048163,extreme
21,P0723,87203923,40277084,386365,46540474,extreme
54,P3005,87167098,37394722,529632,49242744,extreme
33,P1507,86129292,13581591,429975,72117726,extreme
8,P0709,82025421,17394508,0,64630913,extreme
15,P0716,80899189,16726373,5754173,58418643,extreme
16,P0717,80816611,13553833,0,67262778,extreme
51,P3001,78616800,36102380,858630,41655790,extreme
49,P1527,77983093,14026648,0,63956445,extreme
35,P1509,77904850,11551739,0,66353111,extreme
22,P0725,77076584,27684187,0,49392397,extreme
19,P0721,72590202,8003613,0,64586589,extreme
26,P0729,72387203,13360808,192991,58833404,extreme
46,P1522,69329839,3847850,0,65481989,extreme
41,P1517,65848760,43658268,18229,22172263,extreme
4,P0705,64999333,5875988,1468292,57655053,extreme
29,P1503,63278165,13075030,146713,50056422,extreme
28,P1502,62650877,5141647,0,57509230,extreme
44,P1520,62547242,14249201,255516,48042525,extreme
25,P0728,60544183,17747755,2889,42793539,extreme
64,P3017,60296569,23322271,794714,36179584,extreme
40,P1516,59204496,4933143,224567,54046786,moderate
74,P3029,58661665,12483023,0,46178642,moderate
13,P0714,58268044,4858639,0,53409405,moderate
24,P0727,56977269,10435704,0,46541565,moderate
2,P0703,55991185,28989761,177083,26824341,moderate
59,P3012,54281496,7318275,0,46963221,moderate
38,P1514,54045201,5331585,7442225,41271391,moderate
18,P0719,53596108,20865109,861189,31869810,moderate
14,P0715,53580126,4793411,0,48786715,moderate
63,P3016,51612682,40196468,116682,11299532,moderate
32,P1506,50777965,13226344,3287018,34264603,moderate
60,P3013,50303167,21031666,0,29271501,moderate
76,P3041,49613253,14951124,647593,34014536,moderate
62,P3015,49155322,5531394,0,43623928,moderate
43,P1519,49079558,4873007,28161,44178390,moderate
5,P0706,48575445,13470081,0,35105364,moderate
17,P0718,48527333,11186421,922248,36418664,moderate
50,P1541,48411232,8109503,501433,39800296,moderate
75,P3030,47356075,17852319,1691329,27812427,moderate
42,P1518,46839116,6189116,0,40650000,moderate
45,P1521,46777354,11822934,0,34954420,moderate
36,P1510,46749717,6533897,0,40215820,moderate
48,P1525,45018182,10343436,98994,34575752,moderate
61,P3014,44997901,16077719,33995,28886187,moderate
3,P0704,44774986,4646763,0,40128223,moderate
68,P3022,44687168,16790377,0,27896791,moderate
12,P0713,44162954,6269840,2274850,35618264,moderate
11,P0712,43881519,15888367,13524,27979628,occational
56,P3009,43010851,10609989,250,32400612,occational
71,P3025,42781027,4256802,0,38524225,occational
23,P0726,42301439,2903189,6,39398244,occational
37,P1511,40941082,17048018,4920229,18972835,occational
31,P1505,40856954,15175984,408347,25272623,occational
73,P3028,40638394,9086942,0,31551452,occational
1,P0702,40292940,3335746,0,36957194,occational
6,P0707,39898851,14111788,0,25787063,occational
47,P1523,39708624,19150685,604939,19953000,occational
27,P1501,38790495,2087162,869482,35833851,occational
9,P0710,38636958,7114924,0,31522034,occational
55,P3007,37068748,8134207,0,28934541,occational
57,P3010,36570192,16805757,0,19764435,occational
65,P3018,34651252,5722798,0,28928454,occational
7,P0708,33485661,6286605,30504,27168552,occational
34,P1508,33476948,7333811,93761,26049376,occational
30,P1504,33394003,9150774,0,24243229,occational
66,P3019,31990847,3859705,666762,27464380,occational
69,P3023,31115849,9615454,0,21500395,occational
58,P3011,28296077,9200101,778373,18317603,occational
10,P0711,27867099,9891700,0,17975399,occational
0,P0701,26209371,1690180,0,24519191,occational
72,P3027,18601876,2815904,108087,15677885,occational
70,P3024,18084027,3979426,47088,14057513,occational
